code,type,name,i18n_names,status,legal_entity_id,company_code,location_id,display_order,parent_code,manager_user_id,manager_email,effective_date,end_date
PM-E-S01,OrgUnit,东部大区-服务中心01,,active,,,,11,PM-E,,,2025-01-01,
PM-E-S01-T01,OrgUnit,东部大区-服务中心01-班组01,,active,,,,11,PM-E-S01,,,2025-01-01,
PM-E-S01-T02,OrgUnit,东部大区-服务中心01-班组02,,active,,,,12,PM-E-S01,,,2025-01-01,
PM-E-S02,OrgUnit,东部大区-服务中心02,,active,,,,12,PM-E,,,2025-01-01,
PM-E-S02-T01,OrgUnit,东部大区-服务中心02-班组01,,active,,,,11,PM-E-S02,,,2025-01-01,
PM-E-S02-T02,OrgUnit,东部大区-服务中心02-班组02,,active,,,,12,PM-E-S02,,,2025-01-01,
PM-E-S03,OrgUnit,东部大区-服务中心03,,active,,,,13,PM-E,,,2025-01-01,
PM-E-S03-T01,OrgUnit,东部大区-服务中心03-班组01,,active,,,,11,PM-E-S03,,,2025-01-01,
PM-E-S03-T02,OrgUnit,东部大区-服务中心03-班组02,,active,,,,12,PM-E-S03,,,2025-01-01,
PM-E-S04,OrgUnit,东部大区-服务中心04,,active,,,,14,PM-E,,,2025-01-01,
PM-E-S04-T01,OrgUnit,东部大区-服务中心04-班组01,,active,,,,11,PM-E-S04,,,2025-01-01,
PM-E-S04-T02,OrgUnit,东部大区-服务中心04-班组02,,active,,,,12,PM-E-S04,,,2025-01-01,
PM-E-S05,OrgUnit,东部大区-服务中心05,,active,,,,15,PM-E,,,2025-01-01,
PM-E-S05-T01,OrgUnit,东部大区-服务中心05-班组01,,active,,,,11,PM-E-S05,,,2025-01-01,
PM-E-S05-T02,OrgUnit,东部大区-服务中心05-班组02,,active,,,,12,PM-E-S05,,,2025-01-01,
PM-E-S06,OrgUnit,东部大区-服务中心06,,active,,,,16,PM-E,,,2025-01-01,
PM-E-S06-T01,OrgUnit,东部大区-服务中心06-班组01,,active,,,,11,PM-E-S06,,,2025-01-01,
PM-E-S06-T02,OrgUnit,东部大区-服务中心06-班组02,,active,,,,12,PM-E-S06,,,2025-01-01,
PM-S,OrgUnit,南方大区,,active,,,,3,BU-PM,,,2025-01-01,
PM-S-QA,OrgUnit,南方大区-品质管理部,,active,,,,101,PM-S,,,2025-01-01,
PM-S-CS,OrgUnit,南方大区-客户服务部,,active,,,,102,PM-S,,,2025-01-01,
PM-S-S01,OrgUnit,南方大区-服务中心01,,active,,,,11,PM-S,,,2025-01-01,
PM-S-S01-T01,OrgUnit,南方大区-服务中心01-班组01,,active,,,,11,PM-S-S01,,,2025-01-01,
PM-S-S01-T02,OrgUnit,南方大区-服务中心01-班组02,,active,,,,12,PM-S-S01,,,2025-01-01,
PM-S-S02,OrgUnit,南方大区-服务中心02,,active,,,,12,PM-S,,,2025-01-01,
PM-S-S02-T01,OrgUnit,南方大区-服务中心02-班组01,,active,,,,11,PM-S-S02,,,2025-01-01,
PM-S-S02-T02,OrgUnit,南方大区-服务中心02-班组02,,active,,,,12,PM-S-S02,,,2025-01-01,
PM-S-S03,OrgUnit,南方大区-服务中心03,,active,,,,13,PM-S,,,2025-01-01,
PM-S-S03-T01,OrgUnit,南方大区-服务中心03-班组01,,active,,,,11,PM-S-S03,,,2025-01-01,
PM-S-S03-T02,OrgUnit,南方大区-服务中心03-班组02,,active,,,,12,PM-S-S03,,,2025-01-01,
PM-S-S04,OrgUnit,南方大区-服务中心04,,active,,,,14,PM-S,,,2025-01-01,
PM-S-S04-T01,OrgUnit,南方大区-服务中心04-班组01,,active,,,,11,PM-S-S04,,,2025-01-01,
PM-S-S04-T02,OrgUnit,南方大区-服务中心04-班组02,,active,,,,12,PM-S-S04,,,2025-01-01,
PM-S-S05,OrgUnit,南方大区-服务中心05,,active,,,,15,PM-S,,,2025-01-01,
PM-S-S05-T01,OrgUnit,南方大区-服务中心05-班组01,,active,,,,11,PM-S-S05,,,2025-01-01,
PM-S-S05-T02,OrgUnit,南方大区-服务中心05-班组02,,active,,,,12,PM-S-S05,,,2025-01-01,
PM-S-S06,OrgUnit,南方大区-服务中心06,,active,,,,16,PM-S,,,2025-01-01,
PM-S-S06-T01,OrgUnit,南方大区-服务中心06-班组01,,active,,,,11,PM-S-S06,,,2025-01-01,
PM-S-S06-T02,OrgUnit,南方大区-服务中心06-班组02,,active,,,,12,PM-S-S06,,,2025-01-01,
PM-W,OrgUnit,西部大区,,active,,,,4,BU-PM,,,2025-01-01,
PM-W-QA,OrgUnit,西部大区-品质管理部,,active,,,,101,PM-W,,,2025-01-01,
PM-W-CS,OrgUnit,西部大区-客户服务部,,active,,,,102,PM-W,,,2025-01-01,
PM-W-S01,OrgUnit,西部大区-服务中心01,,active,,,,11,PM-W,,,2025-01-01,
PM-W-S01-T01,OrgUnit,西部大区-服务中心01-班组01,,active,,,,11,PM-W-S01,,,2025-01-01,
PM-W-S01-T02,OrgUnit,西部大区-服务中心01-班组02,,active,,,,12,PM-W-S01,,,2025-01-01,
PM-W-S02,OrgUnit,西部大区-服务中心02,,active,,,,12,PM-W,,,2025-01-01,
PM-W-S02-T01,OrgUnit,西部大区-服务中心02-班组01,,active,,,,11,PM-W-S02,,,2025-01-01,
PM-W-S02-T02,OrgUnit,西部大区-服务中心02-班组02,,active,,,,12,PM-W-S02,,,2025-01-01,
PM-W-S03,OrgUnit,西部大区-服务中心03,,active,,,,13,PM-W,,,2025-01-01,
PM-W-S03-T01,OrgUnit,西部大区-服务中心03-班组01,,active,,,,11,PM-W-S03,,,2025-01-01,
PM-W-S03-T02,OrgUnit,西部大区-服务中心03-班组02,,active,,,,12,PM-W-S03,,,2025-01-01,
PM-W-S04,OrgUnit,西部大区-服务中心04,,active,,,,14,PM-W,,,2025-01-01,
PM-W-S04-T01,OrgUnit,西部大区-服务中心04-班组01,,active,,,,11,PM-W-S04,,,2025-01-01,
PM-W-S04-T02,OrgUnit,西部大区-服务中心04-班组02,,active,,,,12,PM-W-S04,,,2025-01-01,
PM-W-S05,OrgUnit,西部大区-服务中心05,,active,,,,15,PM-W,,,2025-01-01,
PM-W-S05-T01,OrgUnit,西部大区-服务中心05-班组01,,active,,,,11,PM-W-S05,,,2025-01-01,
PM-W-S05-T02,OrgUnit,西部大区-服务中心05-班组02,,active,,,,12,PM-W-S05,,,2025-01-01,
PM-W-S06,OrgUnit,西部大区-服务中心06,,active,,,,16,PM-W,,,2025-01-01,
PM-W-S06-T01,OrgUnit,西部大区-服务中心06-班组01,,active,,,,11,PM-W-S06,,,2025-01-01,
PM-W-S06-T02,OrgUnit,西部大区-服务中心06-班组02,,active,,,,12,PM-W-S06,,,2025-01-01,
IT-RD,OrgUnit,研发中心,,active,,,,1,BU-IT,,,2025-01-01,
IT-RD-T01,OrgUnit,研发中心-团队01,,active,,,,11,IT-RD,,,2025-01-01,
IT-RD-T02,OrgUnit,研发中心-团队02,,active,,,,12,IT-RD,,,2025-01-01,
IT-RD-T03,OrgUnit,研发中心-团队03,,active,,,,13,IT-RD,,,2025-01-01,
IT-RD-T04,OrgUnit,研发中心-团队04,,active,,,,14,IT-RD,,,2025-01-01,
IT-RD-T05,OrgUnit,研发中心-团队05,,active,,,,15,IT-RD,,,2025-01-01,
IT-RD-T06,OrgUnit,研发中心-团队06,,active,,,,16,IT-RD,,,2025-01-01,
IT-PD,OrgUnit,产品中心,,active,,,,2,BU-IT,,,2025-01-01,
IT-PD-T01,OrgUnit,产品中心-团队01,,active,,,,11,IT-PD,,,2025-01-01,
IT-PD-T02,OrgUnit,产品中心-团队02,,active,,,,12,IT-PD,,,2025-01-01,
IT-PD-T03,OrgUnit,产品中心-团队03,,active,,,,13,IT-PD,,,2025-01-01,
IT-PD-T04,OrgUnit,产品中心-团队04,,active,,,,14,IT-PD,,,2025-01-01,
IT-PD-T05,OrgUnit,产品中心-团队05,,active,,,,15,IT-PD,,,2025-01-01,
IT-PD-T06,OrgUnit,产品中心-团队06,,active,,,,16,IT-PD,,,2025-01-01,
IT-OP,OrgUnit,运营中心,,active,,,,3,BU-IT,,,2025-01-01,
IT-OP-T01,OrgUnit,运营中心-团队01,,active,,,,11,IT-OP,,,2025-01-01,
IT-OP-T02,OrgUnit,运营中心-团队02,,active,,,,12,IT-OP,,,2025-01-01,
IT-OP-T03,OrgUnit,运营中心-团队03,,active,,,,13,IT-OP,,,2025-01-01,
IT-OP-T04,OrgUnit,运营中心-团队04,,active,,,,14,IT-OP,,,2025-01-01,
IT-OP-T05,OrgUnit,运营中心-团队05,,active,,,,15,IT-OP,,,2025-01-01,
IT-OP-T06,OrgUnit,运营中心-团队06,,active,,,,16,IT-OP,,,2025-01-01,
IT-GR,OrgUnit,增长中心,,active,,,,4,BU-IT,,,2025-01-01,
IT-GR-T01,OrgUnit,增长中心-团队01,,active,,,,11,IT-GR,,,2025-01-01,
IT-GR-T02,OrgUnit,增长中心-团队02,,active,,,,12,IT-GR,,,2025-01-01,
IT-GR-T03,OrgUnit,增长中心-团队03,,active,,,,13,IT-GR,,,2025-01-01,
IT-GR-T04,OrgUnit,增长中心-团队04,,active,,,,14,IT-GR,,,2025-01-01,
IT-GR-T05,OrgUnit,增长中心-团队05,,active,,,,15,IT-GR,,,2025-01-01,
IT-GR-T06,OrgUnit,增长中心-团队06,,active,,,,16,IT-GR,,,2025-01-01,
IT-BD,OrgUnit,商务中心,,active,,,,5,BU-IT,,,2025-01-01,
IT-BD-T01,OrgUnit,商务中心-团队01,,active,,,,11,IT-BD,,,2025-01-01,
IT-BD-T02,OrgUnit,商务中心-团队02,,active,,,,12,IT-BD,,,2025-01-01,
IT-BD-T03,OrgUnit,商务中心-团队03,,active,,,,13,IT-BD,,,2025-01-01,
IT-BD-T04,OrgUnit,商务中心-团队04,,active,,,,14,IT-BD,,,2025-01-01,
IT-BD-T05,OrgUnit,商务中心-团队05,,active,,,,15,IT-BD,,,2025-01-01,
IT-BD-T06,OrgUnit,商务中心-团队06,,active,,,,16,IT-BD,,,2025-01-01,
IT-CS,OrgUnit,客服中心,,active,,,,6,BU-IT,,,2025-01-01,
IT-CS-T01,OrgUnit,客服中心-团队01,,active,,,,11,IT-CS,,,2025-01-01,
IT-CS-T02,OrgUnit,客服中心-团队02,,active,,,,12,IT-CS,,,2025-01-01,
IT-CS-T03,OrgUnit,客服中心-团队03,,active,,,,13,IT-CS,,,2025-01-01,
IT-CS-T04,OrgUnit,客服中心-团队04,,active,,,,14,IT-CS,,,2025-01-01,
IT-CS-T05,OrgUnit,客服中心-团队05,,active,,,,15,IT-CS,,,2025-01-01,
IT-CS-T06,OrgUnit,客服中心-团队06,,active,,,,16,IT-CS,,,2025-01-01,
IT-DEEP-03,OrgUnit,平台技术-层级03,,active,,,,203,IT-RD,,,2025-01-01,
IT-DEEP-04,OrgUnit,平台技术-层级04,,active,,,,204,IT-DEEP-03,,,2025-01-01,
IT-DEEP-05,OrgUnit,平台技术-层级05,,active,,,,205,IT-DEEP-04,,,2025-01-01,
IT-DEEP-06,OrgUnit,平台技术-层级06,,active,,,,206,IT-DEEP-05,,,2025-01-01,
IT-DEEP-07,OrgUnit,平台技术-层级07,,active,,,,207,IT-DEEP-06,,,2025-01-01,
IT-DEEP-08,OrgUnit,平台技术-层级08,,active,,,,208,IT-DEEP-07,,,2025-01-01,
IT-DEEP-09,OrgUnit,平台技术-层级09,,active,,,,209,IT-DEEP-08,,,2025-01-01,
IT-DEEP-10,OrgUnit,平台技术-层级10,,active,,,,210,IT-DEEP-09,,,2025-01-01,
IT-DEEP-11,OrgUnit,平台技术-层级11,,active,,,,211,IT-DEEP-10,,,2025-01-01,
IT-DEEP-12,OrgUnit,平台技术-层级12,,active,,,,212,IT-DEEP-11,,,2025-01-01,
IT-DEEP-13,OrgUnit,平台技术-层级13,,active,,,,213,IT-DEEP-12,,,2025-01-01,
IT-DEEP-14,OrgUnit,平台技术-层级14,,active,,,,214,IT-DEEP-13,,,2025-01-01,
IT-DEEP-15,OrgUnit,平台技术-层级15,,active,,,,215,IT-DEEP-14,,,2025-01-01,
IT-DEEP-16,OrgUnit,平台技术-层级16,,active,,,,216,IT-DEEP-15,,,2025-01-01,
